date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2024-04-26,1.0221,1.4084,5.2484,-0.0506,-0.0506,-0.0506,1.1071,10393031.9429,10393031.9429,10393031.9429
2024-04-30,1.1379,1.5681,5.8434,0.0000,0.0000,0.0000,1.1334,11571202.3088,11571202.3088,11571202.3088
2024-05-10,1.1021,1.5187,5.6591,-0.0315,-0.0315,-0.0315,1.1493,11206257.0272,11206257.0272,11206257.0272
2024-05-17,1.0833,1.4928,5.5628,-0.0480,-0.0480,-0.0480,1.1478,11015495.3820,11015495.3820,11015495.3820
2024-05-24,1.0992,1.5147,5.6445,-0.0340,-0.0340,-0.0340,1.1401,11177249.9482,11177249.9482,11177249.9482
2024-05-31,1.0829,1.4922,5.5607,-0.0484,-0.0484,-0.0484,1.1338,11011325.2111,11011325.2111,11011325.2111
2024-06-07,1.0851,1.4953,5.5722,-0.0464,-0.0464,-0.0464,1.1250,11034160.5638,11034160.5638,11034160.5638
2024-06-14,1.0896,1.5015,5.5953,-0.0425,-0.0425,-0.0425,1.1096,11079967.5968,11079967.5968,11079967.5968
2024-06-21,1.1412,1.5725,5.8599,0.0000,0.0000,0.0000,1.1002,11603837.9643,11603837.9643,11603837.9643
2024-06-28,1.1221,1.5463,5.7620,-0.0167,-0.0167,-0.0167,1.0897,11409998.4611,11409998.4611,11409998.4611
2024-07-05,1.1173,1.5397,5.7376,-0.0209,-0.0209,-0.0209,1.0767,11361752.2865,11361752.2865,11361752.2865
2024-07-12,1.1247,1.5499,5.7755,-0.0144,-0.0144,-0.0144,1.0720,11436755.3485,11436755.3485,11436755.3485
2024-07-19,1.1365,1.5661,5.8359,-0.0041,-0.0041,-0.0041,1.0961,11556366.6415,11556366.6415,11556366.6415
2024-07-26,1.1237,1.5485,5.7704,-0.0153,-0.0153,-0.0153,1.0717,11426671.2052,11426671.2052,11426671.2052
2024-08-02,1.1232,1.5478,5.7679,-0.0157,-0.0157,-0.0157,1.0619,11421650.3990,11421650.3990,11421650.3990
2024-08-09,1.1201,1.5435,5.7516,-0.0185,-0.0185,-0.0185,1.0511,11389500.6788,11389500.6788,11389500.6788
2024-08-16,1.1260,1.5516,5.7819,-0.0133,-0.0133,-0.0133,1.0445,11449434.0760,11449434.0760,11449434.0760
2024-08-23,1.1342,1.5630,5.8243,-0.0061,-0.0061,-0.0061,1.0468,11533403.3806,11533403.3806,11533403.3806
2024-08-30,1.1286,1.5552,5.7953,-0.0110,-0.0110,-0.0110,1.0355,11475969.7934,11475969.7934,11475969.7934
2024-09-02,1.1286,1.5552,5.7953,-0.0110,-0.0110,-0.0110,1.0355,11475969.7934,11475969.7934,11475969.7934
2024-09-06,1.1188,1.5417,5.7450,-0.0196,-0.0196,-0.0196,1.0233,11376294.2404,11376294.2404,11376294.2404
2024-09-13,1.0970,1.5116,5.6329,-0.0387,-0.0387,-0.0387,1.0006,11154365.3572,11154365.3572,11154365.3572
2024-09-20,1.1024,1.5191,5.6609,-0.0340,-0.0340,-0.0340,0.9963,11209876.5959,11209876.5959,11209876.5959
2024-09-27,1.1186,1.5414,5.7438,-0.0198,-0.0198,-0.0198,1.0129,11374016.5062,11374016.5062,11374016.5062
2024-09-30,1.2181,1.6786,6.2551,0.0000,0.0000,0.0000,1.2024,12386379.7601,12386379.7601,12386379.7601
2024-10-11,1.3058,1.7994,6.7054,0.0000,0.0000,0.0000,1.2184,13278106.9740,13278106.9740,13278106.9740
2024-10-18,1.2998,1.7911,6.6744,-0.0046,-0.0046,-0.0046,1.1925,13216675.0495,13216675.0495,13216675.0495
2024-10-25,1.3603,1.8746,6.9853,0.0000,0.0000,0.0000,1.2340,13832518.6083,13832518.6083,13832518.6083
2024-11-01,1.3359,1.8409,6.8599,-0.0180,-0.0180,-0.0180,1.2222,13584121.5241,13584121.5241,13584121.5241
2024-11-08,1.3378,1.8435,6.8695,-0.0166,-0.0166,-0.0166,1.2324,13603015.1035,13603015.1035,13603015.1035
2024-11-15,1.3795,1.9010,7.0839,0.0000,0.0000,0.0000,1.2570,14027724.8205,14027724.8205,14027724.8205
2024-11-22,1.3633,1.8786,7.0003,-0.0118,-0.0118,-0.0118,1.2243,13862215.8609,13862215.8609,13862215.8609
2024-11-29,1.3495,1.8597,6.9298,-0.0218,-0.0218,-0.0218,1.2074,13722594.2551,13722594.2551,13722594.2551
2024-12-06,1.4052,1.9363,7.2155,0.0000,0.0000,0.0000,1.2359,14288287.1504,14288287.1504,14288287.1504
2024-12-13,1.3954,1.9229,7.1654,-0.0069,-0.0069,-0.0069,1.2452,14189037.8376,14189037.8376,14189037.8376
2024-12-20,1.3943,1.9214,7.1600,-0.0077,-0.0077,-0.0077,1.2351,14178376.6493,14178376.6493,14178376.6493
2024-12-27,1.4302,1.9708,7.3441,0.0000,0.0000,0.0000,1.2441,14543016.3362,14543016.3362,14543016.3362
2025-01-03,1.3839,1.9071,7.1064,-0.0324,-0.0324,-0.0324,1.1933,14072314.8158,14072314.8158,14072314.8158
2025-01-10,1.3562,1.8688,6.9640,-0.0518,-0.0518,-0.0518,1.1817,13790278.0627,13790278.0627,13790278.0627
2025-01-17,1.3394,1.8457,6.8778,-0.0635,-0.0635,-0.0635,1.1731,13619564.1943,13619564.1943,13619564.1943
2025-01-24,1.3801,1.9019,7.0871,-0.0350,-0.0350,-0.0350,1.1982,14033945.0399,14033945.0399,14033945.0399
2025-01-27,1.3796,1.9011,7.0842,-0.0354,-0.0354,-0.0354,1.2089,14028182.2507,14028182.2507,14028182.2507
2025-02-07,1.3577,1.8709,6.9718,-0.0507,-0.0507,-0.0507,1.1988,13805604.0534,13805604.0534,13805604.0534
2025-02-14,1.3984,1.9270,7.1807,-0.0223,-0.0223,-0.0223,1.2248,14219393.6642,14219393.6642,14219393.6642
2025-02-21,1.4131,1.9472,7.2562,-0.0120,-0.0120,-0.0120,1.2358,14368815.9149,14368815.9149,14368815.9149
2025-02-28,1.4322,1.9736,7.3542,0.0000,0.0000,0.0000,1.2309,14562967.2194,14562967.2194,14562967.2194
2025-03-07,1.4069,1.9387,7.2244,-0.0177,-0.0177,-0.0177,1.2212,14305824.6600,14305824.6600,14305824.6600
2025-03-14,1.4289,1.9691,7.3376,-0.0023,-0.0023,-0.0023,1.2318,14530051.5878,14530051.5878,14530051.5878
2025-03-21,1.4282,1.9681,7.3340,-0.0028,-0.0028,-0.0028,1.2367,14522836.1101,14522836.1101,14522836.1101
2025-03-28,1.4114,1.9449,7.2475,-0.0145,-0.0145,-0.0145,1.2363,14351647.8501,14351647.8501,14351647.8501
2025-04-03,1.3954,1.9229,7.1653,-0.0257,-0.0257,-0.0257,1.2173,14188894.5077,14188894.5077,14188894.5077
2025-04-11,1.2841,1.7695,6.5939,-0.1034,-0.1034,-0.1034,1.1130,13057303.4650,13057303.4650,13057303.4650
2025-04-18,1.3419,1.8491,6.8905,-0.0630,-0.0630,-0.0630,1.1787,13644783.0629,13644783.0629,13644783.0629
2025-04-25,1.3547,1.8668,6.9563,-0.0541,-0.0541,-0.0541,1.1918,13774916.9476,13774916.9476,13774916.9476
2025-04-30,1.3513,1.8621,6.9389,-0.0565,-0.0565,-0.0565,1.1934,13740615.5002,13740615.5002,13740615.5002
2025-05-09,1.3591,1.8729,6.9790,-0.0510,-0.0510,-0.0510,1.1981,13819897.5044,13819897.5044,13819897.5044
2025-05-16,1.3734,1.8926,7.0524,-0.0410,-0.0410,-0.0410,1.2222,13965352.0056,13965352.0056,13965352.0056
2025-05-23,1.3717,1.8902,7.0435,-0.0423,-0.0423,-0.0423,1.2246,13947643.5365,13947643.5365,13947643.5365
2025-05-30,1.3537,1.8655,6.9514,-0.0548,-0.0548,-0.0548,1.2128,13765270.1271,13765270.1271,13765270.1271
2025-06-06,1.3601,1.8743,6.9843,-0.0503,-0.0503,-0.0503,1.2139,13830531.5971,13830531.5971,13830531.5971
2025-06-13,1.3739,1.8932,7.0548,-0.0407,-0.0407,-0.0407,1.2195,13970124.8440,13970124.8440,13970124.8440
2025-06-20,1.3804,1.9023,7.0886,-0.0361,-0.0361,-0.0361,1.2146,14036878.5163,14036878.5163,14036878.5163
